,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL250516C00095000,2025-05-12 16:35:15+00:00,95.0,114.0,115.5,116.05,9.75,9.352518,1,0,2.5781285546875,True,REGULAR,USD
1,AAPL250516C00100000,2025-05-09 17:03:56+00:00,100.0,97.95,110.55,111.1,0.0,0.0,100,31,2.6093784765625,True,REGULAR,USD
2,AAPL250516C00105000,2025-05-09 15:00:56+00:00,105.0,104.82,105.4,106.05,11.339996,12.130933,2,0,1.8125009374999999,True,REGULAR,USD
3,AAPL250516C00110000,2025-05-09 17:03:56+00:00,110.0,87.95,100.55,101.05,0.0,0.0,37,4,2.2265669335937495,True,REGULAR,USD
4,AAPL250516C00115000,2025-05-09 15:00:56+00:00,115.0,83.55,95.55,96.15,0.0,0.0,4,1,2.2109419726562494,True,REGULAR,USD
5,AAPL250516C00120000,2025-05-09 17:03:56+00:00,120.0,78.0,90.6,91.0,0.0,0.0,300,15,1.9492190039062502,True,REGULAR,USD
6,AAPL250516C00125000,2025-05-09 17:03:56+00:00,125.0,72.85,85.6,86.15,0.0,0.0,16,0,1.9765626171875001,True,REGULAR,USD
7,AAPL250516C00130000,2025-05-12 13:46:19+00:00,130.0,77.5,80.45,81.05,9.550003,14.054457,1,2,1.5234398828124998,True,REGULAR,USD
8,AAPL250516C00135000,2025-05-09 17:03:56+00:00,135.0,62.95,75.55,76.05,0.0,0.0,80,8,1.57422087890625,True,REGULAR,USD
9,AAPL250516C00140000,2025-05-12 14:06:45+00:00,140.0,69.38,70.55,71.15,11.329998,19.517653,7,22,1.5507834960937497,True,REGULAR,USD
10,AAPL250516C00145000,2025-05-12 17:15:51+00:00,145.0,64.86,65.6,66.15,11.810001,22.26202,5,0,1.46484642578125,True,REGULAR,USD
11,AAPL250516C00150000,2025-05-12 15:55:24+00:00,150.0,58.75,60.5,61.2,10.799999,22.523458,2,16,1.3144565527343748,True,REGULAR,USD
