,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL250516P00095000,2025-05-09 16:14:12+00:00,95.0,0.01,0.0,0.0,0.0,0.0,200,0,0.500005,False,REGULAR,USD
1,AAPL250516P00100000,2025-05-08 19:03:04+00:00,100.0,0.01,0.0,0.0,0.0,0.0,102,0,0.500005,False,REGULAR,USD
2,AAPL250516P00105000,2025-05-09 15:14:10+00:00,105.0,0.01,0.0,0.0,0.0,0.0,20,0,0.500005,False,REGULAR,USD
3,AAPL250516P00110000,2025-05-09 19:59:13+00:00,110.0,0.01,0.0,0.0,0.0,0.0,328,0,0.500005,False,REGULAR,USD
4,AAPL250516P00115000,2025-05-09 16:17:30+00:00,115.0,0.01,0.0,0.0,0.0,0.0,51,0,0.500005,False,REGULAR,USD
5,AAPL250516P00120000,2025-05-09 19:45:55+00:00,120.0,0.01,0.0,0.0,0.0,0.0,1051,0,0.500005,False,REGULAR,USD
6,AAPL250516P00125000,2025-05-09 13:59:02+00:00,125.0,0.01,0.0,0.0,0.0,0.0,367,0,0.500005,False,REGULAR,USD
7,AAPL250516P00130000,2025-05-09 19:57:05+00:00,130.0,0.01,0.0,0.0,0.0,0.0,484,0,0.500005,False,REGULAR,USD
8,AAPL250516P00135000,2025-05-09 17:15:21+00:00,135.0,0.02,0.0,0.0,0.0,0.0,42,0,0.500005,False,REGULAR,USD
9,AAPL250516P00140000,2025-05-09 19:53:31+00:00,140.0,0.02,0.0,0.0,0.0,0.0,441,0,0.500005,False,REGULAR,USD
10,AAPL250516P00145000,2025-05-09 19:48:30+00:00,145.0,0.03,0.0,0.0,0.0,0.0,227,0,0.500005,False,REGULAR,USD
11,AAPL250516P00150000,2025-05-09 19:52:23+00:00,150.0,0.03,0.0,0.0,0.0,0.0,399,0,0.500005,False,REGULAR,USD
12,AAPL250516P00155000,2025-05-09 19:59:52+00:00,155.0,0.04,0.0,0.0,0.0,0.0,302,0,0.500005,False,REGULAR,USD
13,AAPL250516P00160000,2025-05-09 19:59:45+00:00,160.0,0.05,0.0,0.0,0.0,0.0,1312,0,0.500005,False,REGULAR,USD
14,AAPL250516P00165000,2025-05-09 19:59:59+00:00,165.0,0.07,0.0,0.0,0.0,0.0,1363,0,0.2500075,False,REGULAR,USD
15,AAPL250516P00170000,2025-05-09 19:58:29+00:00,170.0,0.09,0.0,0.0,0.0,0.0,2100,0,0.2500075,False,REGULAR,USD
16,AAPL250516P00172500,2025-05-09 19:58:29+00:00,172.5,0.11,0.0,0.0,0.0,0.0,1410,0,0.2500075,False,REGULAR,USD
17,AAPL250516P00175000,2025-05-09 19:58:29+00:00,175.0,0.15,0.0,0.0,0.0,0.0,1248,0,0.2500075,False,REGULAR,USD
18,AAPL250516P00177500,2025-05-09 19:58:19+00:00,177.5,0.18,0.0,0.0,0.0,0.0,608,0,0.2500075,False,REGULAR,USD
19,AAPL250516P00180000,2025-05-09 19:59:35+00:00,180.0,0.26,0.0,0.0,0.0,0.0,5273,0,0.2500075,False,REGULAR,USD
20,AAPL250516P00182500,2025-05-09 19:59:58+00:00,182.5,0.36,0.0,0.0,0.0,0.0,1577,0,0.12500875,False,REGULAR,USD
21,AAPL250516P00185000,2025-05-09 19:59:58+00:00,185.0,0.52,0.0,0.0,0.0,0.0,4314,0,0.12500875,False,REGULAR,USD
22,AAPL250516P00187500,2025-05-09 19:59:56+00:00,187.5,0.76,0.0,0.0,0.0,0.0,3586,0,0.12500875,False,REGULAR,USD
23,AAPL250516P00190000,2025-05-09 19:59:59+00:00,190.0,1.12,0.0,0.0,0.0,0.0,11119,0,0.062509375,False,REGULAR,USD
24,AAPL250516P00192500,2025-05-09 19:59:58+00:00,192.5,1.64,0.0,0.0,0.0,0.0,4250,0,0.062509375,False,REGULAR,USD
25,AAPL250516P00195000,2025-05-09 19:59:58+00:00,195.0,2.37,0.0,0.0,0.0,0.0,11796,0,0.0312596875,False,REGULAR,USD
26,AAPL250516P00197500,2025-05-09 19:59:55+00:00,197.5,3.3,0.0,0.0,0.0,0.0,8810,0,0.015634843750000002,False,REGULAR,USD
27,AAPL250516P00200000,2025-05-09 19:59:56+00:00,200.0,4.55,0.0,0.0,0.0,0.0,5212,0,1.0000000000000003e-05,True,REGULAR,USD
28,AAPL250516P00202500,2025-05-09 19:59:55+00:00,202.5,6.09,0.0,0.0,0.0,0.0,1031,0,1.0000000000000003e-05,True,REGULAR,USD
29,AAPL250516P00205000,2025-05-09 19:59:19+00:00,205.0,7.85,0.0,0.0,0.0,0.0,1585,0,1.0000000000000003e-05,True,REGULAR,USD
30,AAPL250516P00207500,2025-05-09 19:58:10+00:00,207.5,9.9,0.0,0.0,0.0,0.0,183,0,1.0000000000000003e-05,True,REGULAR,USD
31,AAPL250516P00210000,2025-05-09 19:57:13+00:00,210.0,12.1,0.0,0.0,0.0,0.0,995,0,1.0000000000000003e-05,True,REGULAR,USD
32,AAPL250516P00212500,2025-05-09 19:55:43+00:00,212.5,14.46,0.0,0.0,0.0,0.0,148,0,1.0000000000000003e-05,True,REGULAR,USD
33,AAPL250516P00215000,2025-05-09 19:57:59+00:00,215.0,16.9,0.0,0.0,0.0,0.0,120,0,1.0000000000000003e-05,True,REGULAR,USD
34,AAPL250516P00217500,2025-05-09 18:23:50+00:00,217.5,18.9,0.0,0.0,0.0,0.0,11,0,1.0000000000000003e-05,True,REGULAR,USD
35,AAPL250516P00220000,2025-05-09 19:46:37+00:00,220.0,21.81,0.0,0.0,0.0,0.0,96,0,1.0000000000000003e-05,True,REGULAR,USD
36,AAPL250516P00222500,2025-05-09 13:44:46+00:00,222.5,24.23,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
37,AAPL250516P00225000,2025-05-09 19:00:07+00:00,225.0,26.25,0.0,0.0,0.0,0.0,40,0,1.0000000000000003e-05,True,REGULAR,USD
38,AAPL250516P00227500,2025-05-09 15:46:24+00:00,227.5,29.16,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
39,AAPL250516P00230000,2025-05-09 19:39:19+00:00,230.0,31.72,0.0,0.0,0.0,0.0,23,0,1.0000000000000003e-05,True,REGULAR,USD
40,AAPL250516P00232500,2025-05-08 16:46:06+00:00,232.5,32.8,0.0,0.0,0.0,0.0,14,0,1.0000000000000003e-05,True,REGULAR,USD
41,AAPL250516P00235000,2025-05-09 19:50:49+00:00,235.0,36.58,0.0,0.0,0.0,0.0,18,0,1.0000000000000003e-05,True,REGULAR,USD
42,AAPL250516P00240000,2025-05-09 15:26:46+00:00,240.0,41.8,0.0,0.0,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD
43,AAPL250516P00245000,2025-05-09 15:26:46+00:00,245.0,46.8,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
44,AAPL250516P00250000,2025-05-09 15:26:46+00:00,250.0,51.8,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
45,AAPL250516P00255000,2025-05-01 15:41:11+00:00,255.0,42.5,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
46,AAPL250516P00260000,2025-05-06 14:20:40+00:00,260.0,60.95,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
47,AAPL250516P00265000,2025-04-16 19:57:24+00:00,265.0,70.38,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
48,AAPL250516P00270000,2025-05-06 13:46:08+00:00,270.0,71.65,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
49,AAPL250516P00275000,2025-04-08 19:02:59+00:00,275.0,101.0,75.95,77.15,0.0,0.0,1,0,1.150394873046875,True,REGULAR,USD
50,AAPL250516P00280000,2025-04-23 13:37:41+00:00,280.0,74.05,0.0,0.0,0.0,0.0,5,0,1.0000000000000003e-05,True,REGULAR,USD
51,AAPL250516P00285000,2025-04-03 19:34:20+00:00,285.0,82.94,79.05,80.05,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
